dateTime,token_old,token
2020-01-25 00:03:00 UTC,activists,activists
2020-01-25 00:03:00 UTC,change,change
2020-01-25 00:03:00 UTC,climate,climate
2020-01-25 00:03:00 UTC,warming,warming
2020-01-25 00:03:00 UTC,threatens,threatens
2020-01-25 00:02:00 UTC,change,change
2020-01-25 00:02:00 UTC,Climate,climate
2020-01-25 00:02:00 UTC,compared,compared
2020-01-25 00:02:00 UTC,warming,warming
2020-01-24 23:51:00 UTC,change,change
2020-01-24 23:51:00 UTC,climate,climate
2020-01-24 23:51:00 UTC,change,change
2020-01-24 23:51:00 UTC,address,address
2020-01-24 23:51:00 UTC,emissions,emissions
2020-01-24 23:51:00 UTC,change,change
2020-01-24 23:51:00 UTC,greenhouse,greenhouse
2020-01-24 23:50:00 UTC,halt,halt
2020-01-24 23:50:00 UTC,warming,warming
2020-01-24 23:50:00 UTC,change,change
2020-01-24 23:50:00 UTC,climate,climate
2020-01-24 23:50:00 UTC,threatens,threatens
2020-01-24 23:49:00 UTC,change,change
2020-01-24 23:49:00 UTC,reduce,reduce
2020-01-24 23:49:00 UTC,greenhouse,greenhouse
2020-01-24 23:49:00 UTC,Swedish,swedish
2020-01-24 23:49:00 UTC,climate,climate
2020-01-24 23:49:00 UTC,present,present
2020-01-24 23:49:00 UTC,crisis,crisis
2020-01-24 23:49:00 UTC,present,present
2020-01-24 23:49:00 UTC,crisis,crisis
2020-01-24 23:49:00 UTC,emissions,emissions
2020-01-24 23:49:00 UTC,mitigate,mitigate
2020-01-24 23:48:00 UTC,change,change
2020-01-24 23:48:00 UTC,Climate,climate
2020-01-24 23:48:00 UTC,climate,climate
2020-01-24 23:48:00 UTC,change,change
2020-01-24 23:48:00 UTC,change,change
2020-01-24 23:47:00 UTC,aspirational,aspirational
2020-01-24 23:47:00 UTC,global,global
2020-01-24 23:47:00 UTC,saw,saw
2020-01-24 23:47:00 UTC,greenhouse,greenhouse
2020-01-24 23:47:00 UTC,tackles,tackles
2020-01-24 23:47:00 UTC,climate,climate
2020-01-24 23:47:00 UTC,warming,warming
2020-01-24 23:47:00 UTC,change,change
2020-01-24 23:47:00 UTC,induced,induced
2020-01-24 23:47:00 UTC,ministry,ministry
2020-01-24 23:47:00 UTC,change,change
2020-01-24 23:36:00 UTC,Climate,climate
2020-01-24 23:36:00 UTC,change,change
2020-01-24 23:36:00 UTC,change,change
2020-01-24 23:36:00 UTC,climate,climate
2020-01-24 23:35:00 UTC,aside,aside
2020-01-24 23:35:00 UTC,change,change
2020-01-24 23:35:00 UTC,climate,climate
2020-01-24 23:35:00 UTC,change,change
2020-01-24 23:35:00 UTC,drive,drive
2020-01-24 23:35:00 UTC,warming,warming
2020-01-24 23:35:00 UTC,Climate,climate
2020-01-24 23:34:00 UTC,combat,combat
2020-01-24 23:34:00 UTC,resultant,resultant
2020-01-24 23:34:00 UTC,secret,secret
2020-01-24 23:34:00 UTC,climate,climate
2020-01-24 23:34:00 UTC,causing,causing
2020-01-24 23:34:00 UTC,schemes,schemes
2020-01-24 23:34:00 UTC,tax,tax
2020-01-24 23:34:00 UTC,change,change
2020-01-24 23:34:00 UTC,change,change
2020-01-24 23:34:00 UTC,warming,warming
2020-01-24 23:34:00 UTC,controversies,controversies
2020-01-24 23:34:00 UTC,change,change
2020-01-24 23:34:00 UTC,imposing,imposing
2020-01-24 23:34:00 UTC,change,change
2020-01-24 23:34:00 UTC,causing,causing
2020-01-24 23:34:00 UTC,change,change
2020-01-24 23:34:00 UTC,aggravate,aggravate
2020-01-24 23:34:00 UTC,schemes,schemes
2020-01-24 23:34:00 UTC,warming,warming
2020-01-24 23:34:00 UTC,global,global
2020-01-24 23:33:00 UTC,climate,climate
2020-01-24 23:33:00 UTC,warming,warming
2020-01-24 23:32:00 UTC,climate,climate
2020-01-24 23:32:00 UTC,greenhouse,greenhouse
2020-01-24 23:32:00 UTC,Change,change
2020-01-24 23:32:00 UTC,Interagency,interagency
2020-01-24 23:32:00 UTC,change,change
2020-01-24 23:32:00 UTC,Climate,climate
2020-01-24 23:32:00 UTC,emissions,emissions
2020-01-24 23:32:00 UTC,statewide,statewide
2020-01-24 23:21:00 UTC,greenhouse,greenhouse
2020-01-24 23:21:00 UTC,change,change
2020-01-24 23:21:00 UTC,associated,associated
2020-01-24 23:21:00 UTC,gasses,gasses
2020-01-24 23:20:00 UTC,change,change
2020-01-24 23:20:00 UTC,gasses,gasses
2020-01-24 23:20:00 UTC,climate,climate
2020-01-24 23:20:00 UTC,Climate,climate
2020-01-24 23:20:00 UTC,change,change
2020-01-24 23:20:00 UTC,gases,gases
2020-01-24 23:20:00 UTC,change,change
2020-01-24 23:20:00 UTC,associated,associated
2020-01-24 23:20:00 UTC,greenhouse,greenhouse
2020-01-24 23:19:00 UTC,climate,climate
2020-01-24 23:19:00 UTC,crisis,crisis
2020-01-24 23:18:00 UTC,Climate,climate
2020-01-24 23:18:00 UTC,gases,gases
2020-01-24 23:18:00 UTC,greenhouse,greenhouse
2020-01-24 23:18:00 UTC,climate,climate
2020-01-24 23:17:00 UTC,change,change
2020-01-24 23:06:00 UTC,warming,warming
2020-01-24 23:06:00 UTC,combating,combating
2020-01-24 23:06:00 UTC,change,change
2020-01-24 23:05:00 UTC,climate,climate
2020-01-24 23:05:00 UTC,exacerbates,exacerbates
2020-01-24 23:05:00 UTC,limit,limit
2020-01-24 23:04:00 UTC,warming,warming
2020-01-24 23:04:00 UTC,emissions,emissions
2020-01-24 23:04:00 UTC,gases,gases
2020-01-24 23:04:00 UTC,changing,changing
2020-01-24 23:04:00 UTC,change,change
2020-01-24 23:04:00 UTC,Climate,climate
2020-01-24 23:04:00 UTC,climate,climate
2020-01-24 23:04:00 UTC,change,change
2020-01-24 23:04:00 UTC,greenhouse,greenhouse
2020-01-24 23:03:00 UTC,Kingston,kingston
2020-01-24 23:03:00 UTC,symposium,symposium
2020-01-24 23:03:00 UTC,change,change
2020-01-24 23:02:00 UTC,change,change
2020-01-24 23:02:00 UTC,Climate,climate
2020-01-24 23:02:00 UTC,fight,fight
2020-01-24 23:02:00 UTC,change,change
2020-01-24 23:02:00 UTC,Crisis,crisis
2020-01-24 23:02:00 UTC,change,change
2020-01-24 23:02:00 UTC,curb,curb
2020-01-24 23:02:00 UTC,combat,combat
2020-01-24 23:02:00 UTC,promotes,promotes
2020-01-24 23:02:00 UTC,greenhouse,greenhouse
2020-01-24 23:02:00 UTC,declare,declare
2020-01-24 23:02:00 UTC,fight,fight
2020-01-24 23:02:00 UTC,climate,climate
2020-01-24 22:51:00 UTC,change,change
2020-01-24 22:51:00 UTC,climate,climate
2020-01-24 22:50:00 UTC,bucket,bucket
2020-01-24 22:50:00 UTC,emissions,emissions
2020-01-24 22:50:00 UTC,Environment,environment
2020-01-24 22:50:00 UTC,Climate,climate
2020-01-24 22:50:00 UTC,worsening,worsening
2020-01-24 22:50:00 UTC,tax,tax
2020-01-24 22:50:00 UTC,change,change
2020-01-24 22:50:00 UTC,emissions,emissions
2020-01-24 22:50:00 UTC,accelerated,accelerated
2020-01-24 22:50:00 UTC,back,back
2020-01-24 22:50:00 UTC,warming,warming
2020-01-24 22:50:00 UTC,climate,climate
2020-01-24 22:50:00 UTC,warming,warming
2020-01-24 22:50:00 UTC,gasoline,gasoline
2020-01-24 22:50:00 UTC,impressive,impressive
2020-01-24 22:50:00 UTC,change,change
2020-01-24 22:50:00 UTC,gasoline,gasoline
2020-01-24 22:50:00 UTC,warming,warming
2020-01-24 22:50:00 UTC,greenhouse,greenhouse
2020-01-24 22:50:00 UTC,change,change
2020-01-24 22:50:00 UTC,policy,policy
2020-01-24 22:49:00 UTC,was,was
2020-01-24 22:49:00 UTC,change,change
2020-01-24 22:49:00 UTC,change,change
2020-01-24 22:49:00 UTC,tackling,tackling
2020-01-24 22:49:00 UTC,gases,gases
2020-01-24 22:49:00 UTC,identified,identified
2020-01-24 22:49:00 UTC,climate,climate
2020-01-24 22:49:00 UTC,treating,treating
2020-01-24 22:49:00 UTC,global,global
2020-01-24 22:49:00 UTC,change,change
2020-01-24 22:49:00 UTC,warming,warming
2020-01-24 22:48:00 UTC,change,change
2020-01-24 22:48:00 UTC,combat,combat
2020-01-24 22:48:00 UTC,change,change
2020-01-24 22:48:00 UTC,change,change
2020-01-24 22:48:00 UTC,declare,declare
2020-01-24 22:48:00 UTC,CNN,cnn
2020-01-24 22:48:00 UTC,fight,fight
2020-01-24 22:48:00 UTC,town,town
2020-01-24 22:48:00 UTC,warming,warming
2020-01-24 22:48:00 UTC,reality,reality
2020-01-24 22:48:00 UTC,curb,curb
2020-01-24 22:47:00 UTC,Climate,climate
2020-01-24 22:47:00 UTC,change,change
2020-01-24 22:47:00 UTC,climate,climate
2020-01-24 22:47:00 UTC,Change,change
2020-01-24 22:36:00 UTC,discredit,discredit
2020-01-24 22:36:00 UTC,warming,warming
2020-01-24 22:36:00 UTC,debunk,debunk
2020-01-24 22:36:00 UTC,proponents,proponents
2020-01-24 22:36:00 UTC,warming,warming
2020-01-24 22:36:00 UTC,warming,warming
2020-01-24 22:35:00 UTC,greenhouse,greenhouse
2020-01-24 22:35:00 UTC,generated,generated
2020-01-24 22:35:00 UTC,Conference,conference
2020-01-24 22:35:00 UTC,exists,exists
2020-01-24 22:35:00 UTC,Climate,climate
2020-01-24 22:35:00 UTC,gases,gases
2020-01-24 22:35:00 UTC,gases,gases
2020-01-24 22:35:00 UTC,happens,happens
2020-01-24 22:35:00 UTC,Change,change
2020-01-24 22:35:00 UTC,producing,producing
2020-01-24 22:35:00 UTC,gases,gases
2020-01-24 22:35:00 UTC,views,views
2020-01-24 22:35:00 UTC,warming,warming
2020-01-24 22:34:00 UTC,gasses,gasses
2020-01-24 22:34:00 UTC,climate,climate
2020-01-24 22:34:00 UTC,tackle,tackle
2020-01-24 22:34:00 UTC,greenhouse,greenhouse
2020-01-24 22:34:00 UTC,change,change
2020-01-24 22:34:00 UTC,change,change
2020-01-24 22:33:00 UTC,declare,declare
2020-01-24 22:33:00 UTC,begin,begin
2020-01-24 22:33:00 UTC,change,change
2020-01-24 22:33:00 UTC,change,change
2020-01-24 22:33:00 UTC,curb,curb
2020-01-24 22:33:00 UTC,change,change
2020-01-24 22:33:00 UTC,Climate,climate
2020-01-24 22:33:00 UTC,climate,climate
2020-01-24 22:33:00 UTC,scare,scare
2020-01-24 22:33:00 UTC,warming,warming
2020-01-24 22:33:00 UTC,combat,combat
2020-01-24 22:33:00 UTC,warming,warming
2020-01-24 22:33:00 UTC,Global,global
2020-01-24 22:33:00 UTC,view,view
2020-01-24 22:33:00 UTC,Change,change
2020-01-24 22:33:00 UTC,activist,activist
2020-01-24 22:32:00 UTC,change,change
2020-01-24 22:32:00 UTC,climate,climate
2020-01-24 22:32:00 UTC,change,change
2020-01-24 22:32:00 UTC,crisis,crisis
2020-01-24 22:32:00 UTC,tackling,tackling
2020-01-24 22:32:00 UTC,crisis,crisis
2020-01-24 22:32:00 UTC,change,change
2020-01-24 22:32:00 UTC,combat,combat
2020-01-24 22:32:00 UTC,CNN,cnn
2020-01-24 22:32:00 UTC,denialism,denialism
2020-01-24 22:32:00 UTC,curb,curb
2020-01-24 22:32:00 UTC,poses,poses
2020-01-24 22:32:00 UTC,Climate,climate
2020-01-24 22:32:00 UTC,Change,change
2020-01-24 22:32:00 UTC,warming,warming
2020-01-24 22:32:00 UTC,Change,change
2020-01-24 22:32:00 UTC,declare,declare
2020-01-24 22:32:00 UTC,fight,fight
2020-01-24 22:21:00 UTC,gases,gases
2020-01-24 22:21:00 UTC,climate,climate
2020-01-24 22:21:00 UTC,emission,emission
2020-01-24 22:21:00 UTC,greenhouse,greenhouse
2020-01-24 22:21:00 UTC,emit,emit
2020-01-24 22:21:00 UTC,pollution,pollution
2020-01-24 22:21:00 UTC,gas,gas
2020-01-24 22:21:00 UTC,change,change
